runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
106,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.0,89.0,64.8,0,1,1,0,0,0,2009.0,1.0
99,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,78.0,78.0,65.25,3,1,0,0,0,1,2018.0,1.0
122,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.0,75.0,0.0,2,1,0,0,0,1,2006.0,0.0
113,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.0,78.0,65.0,0,1,0,0,1,0,1984.0,1.0
122,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,83.0,96.5,91.3,0,1,0,0,1,0,1935.0,1.0
88,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.0,39.0,52.4,1,1,0,0,1,0,2014.0,0.0
118,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,66.0,55.5,73.35,0,1,0,1,0,0,1987.0,1.0
117,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,17.0,63.0,41.4,0,1,0,0,0,1,1992.0,1.0
91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.0,72.0,69.0,0,1,0,1,0,0,2003.0,0.0
101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71.0,59.0,45.45,0,1,0,0,0,1,1983.0,1.0
89,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,53.0,26.0,47.5,0,1,0,0,1,0,1995.0,1.0
106,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,38.0,41.5,48.2,2,1,1,0,0,0,2005.0,1.0
155,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88.5,93.0,88.25,3,1,0,1,0,0,2011.0,0.0
108,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,67.0,64.0,52.0,0,1,1,0,0,0,1998.0,1.0
85,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,64.5,64.5,60.4,3,1,0,0,1,0,2008.0,1.0
101,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,92.0,92.0,46.4,3,1,0,0,0,1,2009.0,1.0
87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.5,63.5,69.8,0,1,1,0,0,0,1962.0,1.0
86,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,65.5,65.5,59.4,1,1,0,0,1,0,2011.0,0.0
95,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37.0,37.0,34.45,1,0,0,0,0,0,,
103,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,58.0,58.0,69.2,0,1,0,0,1,0,1984.0,1.0
81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,76.0,93.0,78.9,0,1,0,0,0,1,1955.0,1.0
80,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,63.0,63.0,60.25,1,1,0,0,1,0,2017.0,0.0
100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,54.5,53.0,53.3,2,1,0,0,1,0,2015.0,1.0
123,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,57.5,56.0,53.65,0,1,0,0,0,1,1995.0,1.0
135,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,94.5,97.0,65.45,1,1,0,0,0,1,2018.0,1.0
130,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27.5,27.5,37.5,2,1,0,0,0,1,2012.0,0.0
85,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,68.0,68.0,58.5,2,1,0,0,1,0,2009.0,1.0
93,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,56.0,56.5,53.4,0,1,0,1,0,0,1993.0,1.0
108,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,47.0,31.0,45.65,0,1,0,0,1,0,1991.0,1.0
