name,critic_score,audience_score,Y,runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
Big Foot: The Lost Coast Tapes2012,50%,29%,1,87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,50,50,44.55,2,1,0,0,1,0,2012,0
Don't Hang Up,20%,30%,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,20,28.1,0,1,0,0,0,1,2017,0
Stephen King's 'Thinner'1996,15%,30%,0,92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,59.5,63,48.65,0,1,0,0,1,0,1996,1
Gone2007,54%,20%,1,88,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,54,61,49.3,1,1,1,0,0,0,2007,1
Hellraiser: Judgment,50%,27%,1,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,50,45.8,0,0,0,0,0,0,NA,NA
Salvage (2009),86%,20%,1,76,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,86,74.4,2,1,0,1,0,0,2009,1
Inner Demons2014,56%,33%,1,83,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,63.5,56,0,1,0,0,1,0,2014,0
Wolfen1981,74%,46%,1,115,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,87,87,71.25,0,1,0,1,0,0,1981,1
Leatherface: The Texas Chainsaw Massacre III1990,19%,31%,0,85,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.5,57,46.3,0,1,0,0,0,1,1990,1
Shrooms2008,22%,27%,0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.5,41,37.8,1,1,0,0,0,1,2008,1
Final Destination2000,34%,68%,0,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,44,44,35.2,3,1,1,0,0,0,2000,1
Nightmare Man (2006),56%,18%,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,38,38,54.5,2,1,0,1,0,0,2006,1
Jack Frost (1996),7%,29%,0,89,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,43,43,28.3,0,1,0,1,0,0,1996,1
The Pit and the Pendulum (1991),56%,39%,1,97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,69,63.5,55.2,0,1,0,1,0,0,1991,1
Twixt2012,29%,18%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,72,72,54.55,1,0,0,0,0,0,NA,NA
Witchboard1986,46%,41%,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,44,44,57.9,1,1,0,0,0,1,1986,1
Flesh for the Beast2003,50%,29%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,50,50,46.6,0,1,0,0,1,0,2003,1
Hellraiser: Hellseeker2002,0%,33%,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17,18.5,39.2,2,1,0,0,1,0,2002,1
The Hunger1983,48%,66%,0,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,54,63,76.35,0,1,1,0,0,0,1983,1
Timber Falls2007,38%,28%,1,95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45,24,42.9,0,1,0,0,0,1,2007,1
Sinister 22015,13%,31%,0,97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34,76,44.5,3,1,0,1,0,0,2015,1
Phantasm: OblIVion1998,25%,39%,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,54,54,40.4,0,1,0,0,1,0,1998,1
